Date,High,Low,Open,Volume From,Volume To,Close,Currency Pair
09/06/2018,7691.74,7495.72,7627.56,28511.04,"218,013,881.09",7513.69,BTC/USD
10/06/2018,7514.04,6661.98,7513.76,127797.43,"895,514,425.38",6773.72,BTC/USD
11/06/2018,6913.85,6652.89,6773.72,71169.64,"482,788,065.15",6887.37,BTC/USD
12/06/2018,6888.33,6462.61,6887.43,75997.29,"509,372,466.34",6556.94,BTC/USD
13/06/2018,6623.0,6140.63,6556.94,124304.17,"797,087,281.14",6310.43,BTC/USD
14/06/2018,6719.44,6286.23,6310.43,95038.67,"620,296,377.11",6643.26,BTC/USD
15/06/2018,6667.23,6380.69,6643.63,57731.42,"379,228,601.07",6396.71,BTC/USD
16/06/2018,6569.15,6345.99,6396.71,35851.38,"232,802,782.59",6503.1,BTC/USD
17/06/2018,6585.77,6446.38,6503.1,34359.95,"224,575,526.46",6457.78,BTC/USD
18/06/2018,6802.03,6401.41,6457.78,65285.57,"430,241,689.13",6714.82,BTC/USD
19/06/2018,6839.6,6672.2,6714.56,54949.84,"370,797,057.99",6741.28,BTC/USD
20/06/2018,6817.9,6569.96,6741.28,59674.47,"400,530,201.24",6761.27,BTC/USD
21/06/2018,6790.08,6687.66,6761.27,43765.89,"295,690,715.67",6720.64,BTC/USD
22/06/2018,6731.51,5941.32,6720.64,137346.53,"862,826,624.25",6051.47,BTC/USD
23/06/2018,6257.88,6033.2,6051.47,57011.61,"350,697,378.49",6166.54,BTC/USD
24/06/2018,6254.02,5782.13,6166.36,110833.06,"667,479,078.32",6157.78,BTC/USD
25/06/2018,6344.45,6095.25,6157.78,79086.4,"492,834,172.99",6260.35,BTC/USD
26/06/2018,6286.36,6067.49,6260.4,62925.3,"391,396,653.43",6088.39,BTC/USD
27/06/2018,6192.11,6021.69,6092.26,62639.82,"383,457,137.86",6141.57,BTC/USD
28/06/2018,6172.23,5844.26,6141.57,63585.51,"385,907,044.98",5871.28,BTC/USD
29/06/2018,6286.67,5813.02,5870.81,92884.98,"554,799,001.51",6203.8,BTC/USD
30/06/2018,6503.33,6194.51,6203.81,65571.19,"419,284,677.69",6385.38,BTC/USD
01/07/2018,6429.5,6262.72,6385.43,40809.54,"259,708,490.63",6339.04,BTC/USD
02/07/2018,6673.71,5537.86,6342.69,73069.19,"465,915,661.24",6615.66,BTC/USD
03/07/2018,6670.3,6473.48,6616.6,54662.02,"356,390,898.98",6509.58,BTC/USD
04/07/2018,6777.97,6411.13,6508.43,62355.75,"412,202,352.61",6590.06,BTC/USD
05/07/2018,6691.32,6448.23,6589.77,63771.67,"421,189,063.01",6534.81,BTC/USD
06/07/2018,6633.44,6458.14,6534.81,47259.68,"310,759,733.14",6602.02,BTC/USD
07/07/2018,6814.42,6518.23,6602.03,41785.1,"277,167,900.06",6758.08,BTC/USD
08/07/2018,6782.85,6684.15,6758.08,39671.12,"268,455,446.10",6707.38,BTC/USD
09/07/2018,6803.1,6625.58,6707.46,48761.43,"328,316,145.78",6668.84,BTC/USD
10/07/2018,6683.61,6277.23,6668.84,72513.31,"470,432,142.71",6306.85,BTC/USD
11/07/2018,6405.59,6293.68,6306.87,51054.67,"327,667,754.35",6394.36,BTC/USD
12/07/2018,6394.93,6084.0,6394.36,65555.38,"409,078,182.65",6253.6,BTC/USD
13/07/2018,6349.21,6131.54,6253.66,50964.41,"319,802,271.97",6229.83,BTC/USD
14/07/2018,6332.46,6190.18,6229.61,27713.18,"174,416,786.37",6268.75,BTC/USD
15/07/2018,6401.5,6245.75,6268.32,34225.9,"218,543,291.78",6364.26,BTC/USD
16/07/2018,6761.84,6349.83,6364.26,74798.53,"494,264,915.91",6740.55,BTC/USD
17/07/2018,7476.24,6677.56,6740.54,112707.21,"799,401,451.35",7326.7,BTC/USD
18/07/2018,7590.65,7253.71,7326.76,105818.71,"788,460,811.94",7383.39,BTC/USD
19/07/2018,7563.7,7289.9,7383.39,70179.39,"522,544,440.45",7477.5,BTC/USD
20/07/2018,7676.55,7279.34,7477.1,80874.93,"603,034,414.79",7333.93,BTC/USD
21/07/2018,7453.07,7220.37,7333.93,40295.77,"297,440,355.21",7405.4,BTC/USD
22/07/2018,7569.28,7345.25,7405.4,47479.76,"355,565,264.85",7398.64,BTC/USD
23/07/2018,7798.59,7376.66,7398.64,96722.04,"745,533,303.01",7718.0,BTC/USD
24/07/2018,8485.71,7692.16,7718.0,143800.43,"1,166,560,702.13",8395.82,BTC/USD
25/07/2018,8481.11,8061.07,8395.81,89988.19,"736,530,740.43",8170.23,BTC/USD
26/07/2018,8302.24,7862.67,8170.37,78993.93,"643,953,970.45",7937.25,BTC/USD
27/07/2018,8278.01,7806.25,7937.1,80336.48,"646,256,012.09",8182.89,BTC/USD
28/07/2018,8238.04,8070.04,8182.88,36136.12,"295,872,316.42",8230.87,BTC/USD
29/07/2018,8291.55,8123.53,8230.82,34073.43,"280,233,415.98",8216.78,BTC/USD
30/07/2018,8273.61,7867.44,8216.7,83918.76,"681,120,739.99",8176.06,BTC/USD
31/07/2018,8176.27,7663.7,8176.08,97152.13,"765,186,307.24",7735.3,BTC/USD
01/08/2018,7760.74,7449.31,7736.25,78466.58,"595,404,848.88",7610.9,BTC/USD
02/08/2018,7713.32,7470.86,7610.9,55711.79,"424,093,581.76",7542.34,BTC/USD
03/08/2018,7542.49,7296.76,7542.34,79126.57,"586,982,505.83",7417.6,BTC/USD
04/08/2018,7490.89,6940.15,7417.6,74300.44,"534,002,935.97",7017.89,BTC/USD
05/08/2018,7092.53,6898.31,7017.89,52556.01,"368,914,046.39",7042.39,BTC/USD
06/08/2018,7160.4,6854.79,7042.57,58545.04,"410,408,444.75",6945.78,BTC/USD
07/08/2018,7150.86,6685.02,6945.77,82683.83,"575,690,006.27",6723.21,BTC/USD
08/08/2018,6723.99,6133.03,6723.29,130417.52,"838,853,615.89",6285.02,BTC/USD
09/08/2018,6631.23,6195.02,6285.06,89588.13,"575,748,446.38",6543.24,BTC/USD
10/08/2018,6582.14,6025.91,6543.25,100856.92,"639,457,019.98",6153.41,BTC/USD
11/08/2018,6488.55,6014.26,6152.95,87651.14,"545,722,619.11",6242.54,BTC/USD
12/08/2018,6483.39,6176.89,6242.53,57916.23,"366,460,108.69",6322.92,BTC/USD
13/08/2018,6545.02,6157.03,6322.41,71073.56,"452,431,672.68",6263.2,BTC/USD
14/08/2018,6266.5,5891.87,6263.2,125196.64,"759,847,789.73",6199.6,BTC/USD
15/08/2018,6620.07,6193.63,6199.63,132926.33,"852,103,141.83",6274.22,BTC/USD
16/08/2018,6478.07,6217.33,6274.22,71357.92,"454,679,037.36",6323.81,BTC/USD
17/08/2018,6594.72,6300.45,6323.81,73383.05,"477,089,455.56",6591.16,BTC/USD
18/08/2018,6622.16,6322.44,6591.18,52093.8,"336,744,293.81",6405.71,BTC/USD
19/08/2018,6560.88,6330.56,6405.74,39452.94,"253,984,821.80",6502.18,BTC/USD
20/08/2018,6537.54,6248.39,6502.24,61983.28,"397,981,291.82",6269.9,BTC/USD
21/08/2018,6506.69,6259.81,6270.09,61753.86,"396,746,063.37",6491.11,BTC/USD
22/08/2018,6890.79,6264.34,6491.09,116096.61,"764,005,011.18",6366.13,BTC/USD
23/08/2018,6575.28,6356.96,6366.14,52740.3,"340,811,486.77",6538.95,BTC/USD
24/08/2018,6736.83,6481.76,6539.13,58037.12,"382,456,858.97",6708.96,BTC/USD
25/08/2018,6808.89,6684.19,6708.94,38189.09,"258,296,664.16",6749.56,BTC/USD
26/08/2018,6793.17,6588.48,6749.71,39682.91,"265,820,591.17",6720.6,BTC/USD
27/08/2018,6944.21,6674.84,6720.6,59984.28,"405,769,271.50",6915.73,BTC/USD
28/08/2018,7136.71,6877.2,6915.92,69448.01,"487,789,642.00",7091.38,BTC/USD
29/08/2018,7137.47,6944.76,7091.38,50361.95,"356,139,022.30",7052.0,BTC/USD
30/08/2018,7072.64,6818.69,7051.61,61266.88,"425,475,685.56",6998.76,BTC/USD
31/08/2018,7096.73,6903.08,6998.76,49774.38,"349,131,152.81",7026.96,BTC/USD
01/09/2018,7272.03,7025.58,7026.96,41873.76,"300,301,833.39",7203.46,BTC/USD
02/09/2018,7384.38,7144.71,7203.46,61424.38,"447,453,370.83",7301.26,BTC/USD
03/09/2018,7350.58,7204.89,7301.25,42451.23,"309,327,793.27",7270.05,BTC/USD
04/09/2018,7417.65,7246.76,7270.05,46681.9,"343,762,001.58",7369.86,BTC/USD
05/09/2018,7401.43,6694.06,7369.89,113370.51,"797,851,163.66",6705.03,BTC/USD
06/09/2018,6727.19,6295.11,6705.06,127586.04,"823,309,044.30",6515.42,BTC/USD
07/09/2018,6549.39,6345.48,6515.42,53170.79,"344,487,244.01",6411.78,BTC/USD
08/09/2018,6480.57,6134.76,6413.12,49719.12,"317,380,272.09",6200.16,BTC/USD
09/09/2018,6451.25,6161.83,6200.23,38701.0,"244,400,344.41",6249.07,BTC/USD
10/09/2018,6371.42,6247.64,6249.07,50695.88,"320,435,279.61",6324.43,BTC/USD
11/09/2018,6415.51,6199.19,6324.43,51401.22,"324,512,939.85",6295.54,BTC/USD
12/09/2018,6357.89,6208.28,6295.54,52814.83,"332,537,236.17",6337.11,BTC/USD
13/09/2018,6534.89,6337.08,6337.08,65684.53,"425,090,869.76",6492.0,BTC/USD
14/09/2018,6591.59,6393.84,6492.17,58029.07,"377,989,402.01",6486.01,BTC/USD
15/09/2018,6573.19,6473.47,6485.39,31894.67,"208,349,557.00",6522.08,BTC/USD
16/09/2018,6525.05,6404.31,6522.68,30897.54,"200,545,603.10",6502.44,BTC/USD
17/09/2018,6538.82,6216.83,6502.44,62738.57,"399,675,966.34",6261.48,BTC/USD
18/09/2018,6393.39,6238.25,6261.33,55076.95,"348,485,895.37",6346.44,BTC/USD
19/09/2018,6522.9,6131.02,6346.44,71293.01,"452,379,323.08",6398.8,BTC/USD
20/09/2018,6551.93,6361.33,6398.83,46802.06,"301,619,960.91",6505.9,BTC/USD
21/09/2018,6785.22,6501.01,6505.97,85295.46,"569,642,976.25",6762.06,BTC/USD
22/09/2018,6834.49,6633.01,6762.07,38829.87,"261,159,308.22",6716.6,BTC/USD
23/09/2018,6768.56,6663.9,6716.6,25143.83,"169,080,003.37",6702.7,BTC/USD
24/09/2018,6717.6,6557.82,6702.73,48934.13,"324,660,682.66",6583.53,BTC/USD
25/09/2018,6583.54,6333.21,6583.53,65381.85,"420,279,170.44",6437.74,BTC/USD
26/09/2018,6543.92,6383.16,6437.74,40752.6,"264,402,806.65",6462.6,BTC/USD
27/09/2018,6733.94,6434.76,6462.6,52542.0,"345,096,700.08",6686.13,BTC/USD
28/09/2018,6806.1,6545.41,6686.13,74353.41,"497,340,510.07",6635.38,BTC/USD
29/09/2018,6635.42,6474.23,6635.4,37296.34,"245,055,396.51",6603.75,BTC/USD
30/09/2018,6741.96,6543.68,6603.75,26335.14,"174,302,164.09",6623.71,BTC/USD
01/10/2018,6662.6,6510.54,6623.82,38926.98,"256,959,931.63",6594.98,BTC/USD
02/10/2018,6618.95,6478.04,6594.98,40624.2,"267,166,277.79",6525.47,BTC/USD
03/10/2018,6537.07,6428.98,6525.46,47186.0,"306,385,346.59",6492.26,BTC/USD
04/10/2018,6622.32,6486.86,6492.61,42142.96,"277,614,018.45",6579.79,BTC/USD
05/10/2018,6683.55,6546.98,6580.0,39731.28,"262,562,344.98",6632.87,BTC/USD
06/10/2018,6637.08,6563.25,6632.88,24787.61,"162,722,103.98",6589.94,BTC/USD
07/10/2018,6622.49,6535.02,6589.94,27272.67,"179,378,859.39",6601.15,BTC/USD
08/10/2018,6698.31,6565.01,6601.46,47216.82,"313,507,433.75",6650.07,BTC/USD
09/10/2018,6657.0,6589.39,6650.07,32204.25,"213,976,678.23",6631.79,BTC/USD
10/10/2018,6633.22,6487.86,6631.79,49264.39,"323,664,963.18",6581.07,BTC/USD
11/10/2018,6581.59,6171.95,6581.07,104258.49,"654,924,117.80",6209.47,BTC/USD
12/10/2018,6296.56,6173.86,6209.47,46195.91,"289,840,137.45",6250.85,BTC/USD
13/10/2018,6280.73,6238.92,6252.1,21914.85,"137,705,035.59",6267.27,BTC/USD
14/10/2018,6346.56,6247.17,6267.27,34130.1,"215,422,888.18",6277.73,BTC/USD
15/10/2018,7234.83,6244.77,6277.73,177320.05,"1,190,524,168.21",6612.36,BTC/USD
16/10/2018,6724.91,6545.54,6612.69,49191.34,"324,232,509.78",6583.05,BTC/USD
17/10/2018,6589.2,6511.6,6583.05,33538.55,"220,418,636.64",6574.52,BTC/USD
18/10/2018,6616.27,6445.05,6576.4,50725.31,"331,761,115.45",6488.72,BTC/USD
19/10/2018,6503.09,6449.36,6489.37,36599.64,"237,855,085.41",6469.28,BTC/USD
20/10/2018,6645.2,6395.45,6469.28,19543.75,"127,185,847.78",6490.56,BTC/USD
21/10/2018,6557.39,6474.47,6490.6,16019.49,"105,283,929.06",6509.87,BTC/USD
22/10/2018,6531.23,6460.38,6509.87,31239.03,"202,766,914.40",6483.23,BTC/USD
23/10/2018,6496.2,6438.99,6484.32,34071.62,"220,913,293.60",6470.22,BTC/USD
24/10/2018,6538.35,6465.73,6470.63,34111.66,"222,068,131.83",6476.25,BTC/USD
